actor_account,login_count,logout_count,login_day_count,play_time,avg_money,ip_count,max_level,login_total_day_x,playtime_per_day,sit_count,exp_get_amout,item_get_count,exp_repair_count,money_get_count,abyss,use_portal_count,killed_by_pc,killed_by_npc,teleport_count,reborn_count,question_count,login_total_day_y,sit_count_perday,item_get_count_perday,exp_repair_count_perday,money_get_count_perday,use_portal_count_perday,teleport_count_perday,total_party_time,guild_join_count,average_party_time,class
20000005,259,259,1,637926,124.84946529999999,259,0,15,42528.4,270,389149580,31149,0,4686,0,0,47,30,376,51,62,15,18.0,2076.6,0.0,312.4,0.0,25.06666667,8862.0,0.0,1477.0,0
20000016,38,37,1,401885,43.5099618,38,42,14,28706.07143,153,80119427,61579,0,1596,0,0,32,75,343,75,5893,14,10.92857143,4398.5,0.0,114.0,0.0,24.5,69458.0,0.0,3655.684210526316,0
20000033,43,42,1,240334,-6.613812444,43,38,14,17166.71429,378,142485377,24686,0,1318,0,0,35,53,337,69,97,14,27.0,1763.285714,0.0,94.14285714,0.0,24.07142857,43619.0,0.0,2295.7368421052633,0
20000035,25,24,1,1205493,0.088530585,25,0,15,80366.2,207,1377552887,109795,0,7979,0,0,0,12,44,10,0,15,13.8,7319.666667,0.0,531.9333333000001,0.0,2.933333333,0.0,0.0,0.0,0
20000051,110,109,1,457433,-32.87487785,110,0,15,30495.533330000002,320,395099069,98368,0,3551,0,1,311,109,568,261,80,15,21.33333333,6557.866667,0.0,236.7333333,0.066666667,37.86666667,40934.0,0.0,2558.375,0
20000064,9,9,1,14596,164.2089614,9,0,5,2919.2,14,18351775,223,0,190,0,0,0,2,16,2,4,5,2.8,44.6,0.0,38.0,0.0,3.2,0.0,0.0,0.0,0
20000071,50,48,1,218017,-3.236921891,50,31,13,16770.53846,249,36652226,27050,0,1092,0,0,4,40,178,38,419,13,19.15384615,2080.7692309999998,0.0,84.0,0.0,13.69230769,12992.0,0.0,3248.0,0
20000085,13,13,1,187187,0.238793292,13,28,6,31197.83333,101,24319101,69028,0,1293,0,0,27,31,181,48,206,6,16.83333333,11504.66667,0.0,215.5,0.0,30.16666667,14878.0,0.0,1653.111111111111,0
20000087,3,3,1,11149,0.167369271,3,7,3,3716.333333,0,37782,44,0,26,0,0,0,2,4,4,4,3,0.0,14.66666667,0.0,8.666666667000001,0.0,1.333333333,756.0,0.0,756.0,0
20000088,115,116,1,630830,-13.05386396,115,37,15,42055.33333,602,263808810,33304,0,3447,0,4,252,140,696,268,368,15,40.13333333,2220.2666670000003,0.0,229.8,0.26666666699999997,46.4,11698.0,0.0,1949.666666666667,0
20000105,1,1,1,12094,0.727468166,1,8,1,12094.0,0,83766,377,0,63,0,0,0,1,7,1,12,1,0.0,377.0,0.0,63.0,0.0,7.0,0.0,0.0,0.0,0
20000108,19,19,1,20567,-2651.777556,19,0,11,1869.727273,0,0,0,0,22,0,0,0,0,3,0,0,11,0.0,0.0,0.0,2.0,0.0,0.272727273,0.0,0.0,0.0,0
20000111,59,59,1,195585,-3.305631822,59,29,14,13970.35714,149,24258735,5339,0,1145,0,0,6,31,155,31,173,14,10.64285714,381.35714289999993,0.0,81.78571429,0.0,11.07142857,15892.0,1.0,1589.2,0
20000117,36,35,1,1148470,0.272719357,36,0,15,76564.66667,499,760109571,1290,0,13561,0,0,62,470,356,388,0,15,33.26666667,86.0,0.0,904.0666667000002,0.0,23.73333333,17138.0,0.0,8569.0,0
20000124,176,175,1,512291,16.75920327,176,48,15,34152.73333,432,609662121,76559,0,6775,0,2,40,138,622,131,821,15,28.8,5103.933333,0.0,451.66666669999995,0.133333333,41.46666667,76945.0,0.0,2849.8148148148152,0
20000135,15,13,1,1096369,-9.543346264,15,50,15,73091.26667000001,3998,1080547267,74407,0,51,0,0,5,7,47,11,605,15,266.53333330000004,4960.466667000001,0.0,3.4,0.0,3.133333333,0.0,0.0,0.0,0
20000154,28,28,1,128679,-36.47134342,28,39,8,16084.875,62,41390924,46849,0,269,0,0,4,29,101,28,263,8,7.75,5856.125,0.0,33.625,0.0,12.625,18980.0,0.0,6326.666666666668,0
20000196,42,41,1,946368,-0.25320805399999996,42,0,12,78864.0,9,11137705,82981,0,70888,0,0,0,54,249,54,0,12,0.75,6915.083333,0.0,5907.333333,0.0,20.75,0.0,1.0,0.0,1
20000206,251,250,1,330904,-34.19977093,251,40,14,23636.0,241,306293745,94684,0,2792,0,2,95,59,404,101,43,14,17.21428571,6763.142856999999,0.0,199.4285714,0.14285714300000002,28.85714286,16885.0,0.0,3377.0,0
20000208,5,4,1,16571,2.202462133,5,12,3,5523.666667,41,563795,1523,0,166,0,0,0,3,15,3,70,3,13.66666667,507.66666669999995,0.0,55.33333333,0.0,5.0,0.0,1.0,0.0,0
20000215,32,31,1,143304,6.585740802999999,32,0,11,13027.636359999999,0,164703,38,0,127,0,0,4,0,65,29,0,11,0.0,3.454545455,0.0,11.54545455,0.0,5.909090909,0.0,0.0,0.0,0
20000222,45,45,1,97283,-60.460964399999995,45,39,11,8843.909091,95,69811716,2483,0,721,0,0,7,37,116,27,56,11,8.636363636,225.7272727,0.0,65.54545455,0.0,10.54545455,12663.0,0.0,2532.6,1
20000278,61,61,1,137298,-35.8268875,61,39,8,17162.25,224,55254629,15976,0,1421,0,0,1,35,176,31,34,8,28.0,1997.0,0.0,177.625,0.0,22.0,34995.0,0.0,4374.375,0
20000279,56,56,1,29606,264.8170979,56,0,15,1973.733333,0,0,84800,0,51,0,0,0,0,8,0,0,15,0.0,5653.333333,0.0,3.4,0.0,0.533333333,84.0,0.0,42.0,0
20000290,5,4,1,30499,9.850585265,5,16,4,7624.75,5,1688862,11262,0,412,0,0,0,6,30,6,68,4,1.25,2815.5,0.0,103.0,0.0,7.5,1400.0,0.0,233.33333333333331,0
20000316,191,191,1,349486,-42.53814745,191,31,15,23299.06667,595,358808938,168431,0,3979,0,0,163,43,493,153,564,15,39.66666667,11228.73333,0.0,265.2666667,0.0,32.86666667,72049.0,0.0,3002.041666666666,0
20000328,6,6,1,11707,0.35209703600000003,6,11,2,5853.5,2,320509,5315,0,99,0,0,0,1,9,1,45,2,1.0,2657.5,0.0,49.5,0.0,4.5,0.0,0.0,0.0,0
20000343,53,53,1,444172,-45.7850675,53,0,15,29611.466669999998,295,379809859,2973,0,3410,0,0,17,122,379,104,63,15,19.66666667,198.2,0.0,227.33333330000002,0.0,25.26666667,86211.0,0.0,5388.1875,0
20000350,18,17,1,1110169,-10.10721611,18,47,14,79297.78571,1129,479411310,46720,0,19272,0,0,193,30,230,167,3000,14,80.64285714,3337.142857,0.0,1376.5714289999999,0.0,16.42857143,0.0,1.0,0.0,0
20000387,134,134,1,371994,-19.20943886,134,40,14,26571.0,398,314653638,17102,0,2581,0,0,30,60,414,49,45,14,28.42857143,1221.5714289999999,0.0,184.3571429,0.0,29.57142857,31232.0,1.0,3470.222222222222,0
20000405,17,15,1,1084347,21.62688881,17,46,15,72289.8,11137,616150845,41548,0,6938,0,0,87,263,343,304,1,15,742.4666667,2769.8666670000002,0.0,462.53333330000004,0.0,22.86666667,0.0,0.0,0.0,0
20000412,4,4,1,20204,116.6161156,4,0,2,10102.0,58,6267851,74,0,8,0,0,0,2,12,1,0,2,29.0,37.0,0.0,4.0,0.0,6.0,1992.0,0.0,1992.0,0
20000427,32,31,1,947297,-0.055102042999999996,32,31,13,72869.0,3808,38352741,71146,0,129,0,0,33,26,143,63,5,13,292.9230769,5472.769231,0.0,9.923076923,0.0,11.0,8.0,0.0,8.0,1
20000439,20,18,1,154836,1.197919089,20,24,10,15483.6,6,10389198,3858,0,751,0,0,0,25,134,24,174,10,0.6,385.8,0.0,75.1,0.0,13.4,29222.0,0.0,9740.666666666666,0
20000454,50,50,1,76262,-6.033647164,50,23,9,8473.555556,43,12973754,529,0,268,0,0,1,10,35,8,13,9,4.777777778,58.77777778,0.0,29.77777778,0.0,3.888888889,0.0,0.0,0.0,0
20000456,18,18,1,164903,34.5989703,18,0,11,14991.181819999998,318,98185519,31735,0,2621,0,0,14,35,424,116,40,11,28.90909091,2885.0,0.0,238.2727273,0.0,38.54545455,6122.0,1.0,874.5714285714287,0
20000457,178,179,1,689146,33.56321592,178,0,14,49224.714289999996,428,769943967,65790,0,5064,0,1,25,55,624,46,436,14,30.57142857,4699.285714,0.0,361.7142857,0.071428571,44.57142857,36384.0,0.0,5197.714285714285,0
20000491,8,8,1,78748,46.99244425,8,0,5,15749.6,32,129738309,6106,0,754,0,0,4,13,82,11,17,5,6.4,1221.2,0.0,150.8,0.0,16.4,5533.0,0.0,5533.0,0
20000508,4,4,1,14586,-1579.746469,4,0,4,3646.5,4,12192578,81,0,152,0,0,0,2,14,2,2,4,1.0,20.25,0.0,38.0,0.0,3.5,0.0,0.0,0.0,0
20000512,15,13,1,828781,15.47085901,15,35,12,69065.08333,547,92015865,57721,0,68,0,0,84,37,159,104,395,12,45.58333333,4810.083333,0.0,5.666666667,0.0,13.25,659.0,1.0,659.0,0
20000518,85,85,1,221198,-34.82927965,85,43,11,20108.90909,416,228964244,115785,0,2268,0,0,127,55,386,121,56,11,37.81818182,10525.909090000001,0.0,206.18181819999998,0.0,35.09090909,13596.0,0.0,1133.0,0
20000552,103,104,1,493728,26.39557003,103,49,15,32915.2,293,548989167,92854,0,4586,0,0,10,135,413,105,111,15,19.53333333,6190.266667,0.0,305.7333333,0.0,27.53333333,65712.0,0.0,3458.5263157894733,0
20000558,290,290,1,522497,2.8933371869999998,290,37,15,34833.133330000004,421,312090317,137247,0,3012,356,3,163,104,578,165,71,15,28.06666667,9149.8,0.0,200.8,0.2,38.53333333,72890.0,0.0,1970.0,0
20000581,75,76,1,139876,-90.13689268,75,36,13,10759.692309999999,154,89247279,51001,0,1472,0,0,38,42,272,53,81,13,11.84615385,3923.153846,0.0,113.2307692,0.0,20.92307692,8948.0,0.0,1789.6,0
20000584,2,2,1,24075,6.72701973,2,14,2,12037.5,31,860846,1253,0,240,0,0,0,0,19,0,59,2,15.5,626.5,0.0,120.0,0.0,9.5,0.0,0.0,0.0,0
20000601,36,35,1,242071,15.28913831,36,50,11,22006.45455,241,272978709,23071,0,2174,0,1,36,35,314,49,154,11,21.90909091,2097.363636,0.0,197.63636359999998,0.090909091,28.54545455,46440.0,1.0,3870.0,0
20000641,14,14,1,1055422,6.4840120820000005,14,0,13,81186.30769,1333,989112822,84343,0,6692,0,0,0,78,141,63,1,13,102.5384615,6487.923077,0.0,514.7692308000001,0.0,10.84615385,0.0,0.0,0.0,0
20000644,47,47,1,63901,558.9295473,47,0,14,4564.357143,0,3000,98972,0,90,0,0,0,0,46,0,2,14,0.0,7069.4285709999995,0.0,6.428571429,0.0,3.285714286,0.0,0.0,0.0,0
20000646,9,10,1,54623,8.75735496,9,16,8,6827.875,40,1264759,1011,0,303,0,0,0,6,34,7,79,8,5.0,126.375,0.0,37.875,0.0,4.25,2009.0,0.0,2009.0,0
20000650,214,214,1,358621,-19.58437738,214,25,10,35862.1,17,28195828,118304,0,212,0,4,12,6,58,20,898,10,1.7,11830.4,0.0,21.2,0.4,5.8,3397.0,0.0,178.78947368421055,1
20000657,20,20,1,90687,5.273346786,20,22,9,10076.33333,103,13367582,13079,0,936,0,0,15,17,72,27,75,9,11.44444444,1453.222222,0.0,104.0,0.0,8.0,3488.0,2.0,3488.0,0
20000689,62,61,1,264077,48.0110233,62,39,15,17605.13333,482,67373238,699,0,628,0,16,119,165,424,235,70,15,32.13333333,46.6,0.0,41.86666667,1.066666667,28.26666667,73125.0,0.0,3179.347826086957,0
20000705,59,59,1,179527,-12.03827836,59,37,9,19947.44444,66,68274662,6929,0,393,0,1,29,41,241,53,41,9,7.333333333,769.8888889,0.0,43.66666667,0.111111111,26.77777778,20904.0,0.0,2090.4,0
