trade_go,trade_come,buy_from_shop,sell_to_shop,buy_from_personal_shop,sell_to_person,mail_go,mail_come,invite,join,revival,fight,friend_num,friend_num_change_count,too_much_gain,too_much_AP,trade_go_perday,trade_come_perday,buy_from_shop_perday,sell_to_shop_perday,buy_from_personal_shop_perday,mail_go_perday,mail_come_perday,invite_perday,join_perday,revival_perday,fight_perday
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,2.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
7.0,3.0,11.0,52.0,0.0,0.0,17.0,16.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.5,1.8333333333333333,8.666666666666666,0.0,2.833333333333333,2.6666666666666665,0.6666666666666666,1.5,0.0,0.0
15.0,7.0,72.0,314.0,4.0,0.0,17.0,19.0,19.0,47.0,4.0,1.0,12.0,1.0,0.0,0.0,2.142857142857143,1.0,10.285714285714286,44.85714285714285,0.5714285714285714,2.4285714285714284,2.7142857142857144,2.7142857142857144,6.7142857142857135,0.5714285714285714,0.14285714285714285
11.0,14.0,50.0,265.0,1.0,0.0,5.0,4.0,4.0,22.0,1.0,0.0,52.0,8.0,0.0,0.0,1.5714285714285714,2.0,7.142857142857142,37.857142857142854,0.14285714285714285,0.7142857142857143,0.5714285714285714,0.5714285714285714,3.1428571428571432,0.14285714285714285,0.0
35.0,151.0,87.0,228.0,0.0,0.0,15.0,21.0,11.0,57.0,1.0,2.0,20.0,6.0,0.0,0.0,5.0,21.571428571428577,12.428571428571427,32.57142857142857,0.0,2.142857142857143,3.0,1.5714285714285714,8.142857142857142,0.14285714285714285,0.2857142857142857
4.0,4.0,21.0,208.0,0.0,0.0,3.0,37.0,27.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,3.0,29.714285714285715,0.0,0.42857142857142855,5.285714285714286,3.8571428571428568,4.0,0.0,0.2857142857142857
1.0,9.0,27.0,222.0,0.0,0.0,0.0,0.0,8.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.2857142857142858,3.8571428571428568,31.714285714285715,0.0,0.0,0.0,1.1428571428571428,4.0,0.0,0.14285714285714285
4.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,1.0,0.0,0.5,4.75,0.0,0.0,0.0,2.25,0.5,0.0,0.0
1.0,1.0,15.0,72.0,1.0,0.0,0.0,7.0,1.0,22.0,0.0,7.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,2.142857142857143,10.285714285714286,0.14285714285714285,0.0,1.0,0.14285714285714285,3.1428571428571432,0.0,1.0
47.0,64.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,126.0,0.0,0.0,0.0,0.0,0.0,6.7142857142857135,9.142857142857142,2.142857142857143,2.2857142857142856,0.0,0.0,0.0,0.0,2.0,18.0,0.0
103.0,334.0,8.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.714285714285715,47.714285714285715,1.1428571428571428,10.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,14.0,6.0,36.0,0.0,0.0,3.0,4.0,1.0,19.0,0.0,12.0,65.0,1.0,0.0,0.0,1.0,2.0,0.8571428571428571,5.142857142857143,0.0,0.42857142857142855,0.5714285714285714,0.14285714285714285,2.7142857142857144,0.0,1.7142857142857142
0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,32.0,135.0,0.0,0.0,0.0,1.0,2.0,28.0,0.0,0.0,5.0,2.0,0.0,0.0,0.6,0.0,6.4,27.0,0.0,0.0,0.2,0.4,5.6,0.0,0.0
3.0,2.0,13.0,60.0,0.0,0.0,0.0,0.0,36.0,19.0,0.0,4.0,4.0,2.0,0.0,0.0,0.42857142857142855,0.2857142857142857,1.8571428571428568,8.571428571428571,0.0,0.0,0.0,5.142857142857143,2.7142857142857144,0.0,0.5714285714285714
