actor_account,sit_count,exp_get_amout,item_get_count,exp_repair_count,money_get_count,abyss,use_portal_count,killed_by_pc,killed_by_npc,teleport_count,reborn_count,question_count
20000000,489.0,77894680.0,2712.0,0.0,499.0,0.0,0.0,11.0,83.0,194.0,72.0,86.0
20000005,270.0,389149580.0,31149.0,0.0,4686.0,0.0,0.0,47.0,30.0,376.0,51.0,62.0
20000011,66.0,7602992.0,31446.0,0.0,281.0,0.0,0.0,5.0,14.0,57.0,18.0,6.0
20000016,153.0,80119427.0,61579.0,0.0,1596.0,0.0,0.0,32.0,75.0,343.0,75.0,5893.0
20000025,552.0,322403224.0,29319.0,0.0,2415.0,0.0,8.0,214.0,111.0,776.0,241.0,131.0
20000029,740.0,529054949.0,96343.0,0.0,5754.0,0.0,0.0,572.0,101.0,1023.0,432.0,717.0
20000033,378.0,142485377.0,24686.0,0.0,1318.0,0.0,0.0,35.0,53.0,337.0,69.0,97.0
20000035,207.0,1377552887.0,109795.0,0.0,7979.0,0.0,0.0,0.0,12.0,44.0,10.0,0.0
20000041,406.0,189000014.0,4839.0,0.0,2571.0,0.0,0.0,11.0,38.0,256.0,44.0,55.0
20000042,1385.0,30190361.0,14565.0,0.0,938.0,0.0,0.0,6.0,14.0,52.0,20.0,6.0
20000051,320.0,395099069.0,98368.0,0.0,3551.0,0.0,1.0,311.0,109.0,568.0,261.0,80.0
20000054,85.0,3969282.0,4075.0,0.0,440.0,0.0,0.0,0.0,22.0,81.0,19.0,102.0
20000061,4907.0,1569662439.0,90800.0,0.0,42101.0,0.0,0.0,0.0,12.0,70.0,9.0,0.0
20000063,181.0,576450536.0,15139.0,0.0,2652.0,0.0,9.0,77.0,81.0,642.0,130.0,284.0
20000064,14.0,18351775.0,223.0,0.0,190.0,0.0,0.0,0.0,2.0,16.0,2.0,4.0
20000071,249.0,36652226.0,27050.0,0.0,1092.0,0.0,0.0,4.0,40.0,178.0,38.0,419.0
20000072,679.0,47896082.0,72759.0,0.0,600.0,0.0,17.0,187.0,64.0,554.0,201.0,58.0
20000079,1.0,784468.0,213.0,0.0,141.0,0.0,0.0,0.0,0.0,7.0,0.0,17.0
20000082,4.0,841591.0,182.0,0.0,46.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
20000085,101.0,24319101.0,69028.0,0.0,1293.0,0.0,0.0,27.0,31.0,181.0,48.0,206.0
20000088,602.0,263808810.0,33304.0,0.0,3447.0,0.0,4.0,252.0,140.0,696.0,268.0,368.0
20000090,316.0,8637271.0,4965.0,0.0,879.0,0.0,0.0,0.0,3.0,26.0,4.0,6.0
20000092,8.0,651124546.0,31496.0,0.0,30.0,0.0,0.0,0.0,9.0,21.0,8.0,961.0
20000096,2.0,13039541.0,359.0,0.0,83.0,0.0,0.0,0.0,5.0,13.0,4.0,1.0
20000107,26.0,71238803.0,1946.0,0.0,682.0,0.0,0.0,15.0,8.0,130.0,21.0,12.0
20000109,20.0,46823.0,2.0,0.0,0.0,0.0,0.0,29.0,8.0,29.0,19.0,0.0
20000111,149.0,24258735.0,5339.0,0.0,1145.0,0.0,0.0,6.0,31.0,155.0,31.0,173.0
20000112,190.0,102719271.0,23875.0,0.0,947.0,0.0,5.0,157.0,24.0,257.0,110.0,40.0
20000113,13.0,1795417.0,114.0,0.0,251.0,0.0,0.0,0.0,0.0,20.0,0.0,3.0
20000117,499.0,760109571.0,1290.0,0.0,13561.0,0.0,0.0,62.0,470.0,356.0,388.0,0.0
20000124,432.0,609662121.0,76559.0,0.0,6775.0,0.0,2.0,40.0,138.0,622.0,131.0,821.0
20000127,7.0,3033809.0,20020.0,0.0,9.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0
20000130,139.0,397881860.0,30551.0,0.0,4466.0,0.0,5.0,53.0,40.0,465.0,64.0,422.0
20000131,103.0,315596665.0,135820.0,0.0,2735.0,0.0,1.0,97.0,66.0,337.0,108.0,617.0
20000135,3998.0,1080547267.0,74407.0,0.0,51.0,0.0,0.0,5.0,7.0,47.0,11.0,605.0
20000143,32.0,14031948.0,96.0,0.0,86.0,0.0,0.0,2.0,1.0,27.0,2.0,4.0
20000154,62.0,41390924.0,46849.0,0.0,269.0,0.0,0.0,4.0,29.0,101.0,28.0,263.0
20000157,1301.0,23969413.0,222537.0,0.0,297.0,0.0,0.0,580.0,28.0,1051.0,578.0,5.0
20000177,102.0,14966076.0,2266.0,0.0,272.0,0.0,1.0,10.0,9.0,47.0,17.0,67.0
20000184,6972.0,1298657235.0,62726.0,0.0,48.0,0.0,0.0,0.0,4.0,79.0,4.0,0.0
20000196,9.0,11137705.0,82981.0,0.0,70888.0,0.0,0.0,0.0,54.0,249.0,54.0,0.0
20000203,41.0,30294911.0,4983.0,0.0,255.0,0.0,0.0,5.0,5.0,60.0,5.0,58.0
20000206,241.0,306293745.0,94684.0,0.0,2792.0,0.0,2.0,95.0,59.0,404.0,101.0,43.0
20000207,149.0,22249252.0,91151.0,0.0,1395.0,0.0,0.0,9.0,20.0,240.0,24.0,241.0
20000208,41.0,563795.0,1523.0,0.0,166.0,0.0,0.0,0.0,3.0,15.0,3.0,70.0
20000209,96.0,106513625.0,59576.0,0.0,1334.0,0.0,0.0,73.0,7.0,180.0,58.0,197.0
20000217,236.0,228939694.0,73069.0,0.0,1874.0,0.0,7.0,33.0,29.0,275.0,48.0,39.0
20000222,95.0,69811716.0,2483.0,0.0,721.0,0.0,0.0,7.0,37.0,116.0,27.0,56.0
20000239,91.0,213539416.0,10807.0,0.0,2529.0,0.0,0.0,165.0,55.0,315.0,117.0,261.0
20000249,93.0,16392938.0,701.0,0.0,83.0,0.0,0.0,2.0,52.0,47.0,23.0,2.0
20000252,378.0,392283858.0,21718.0,0.0,3526.0,0.0,0.0,90.0,35.0,332.0,70.0,48.0
20000257,92.0,8213979.0,181.0,0.0,94.0,0.0,0.0,2.0,7.0,18.0,8.0,11.0
20000270,34.0,6463388.0,326.0,0.0,158.0,0.0,0.0,0.0,1.0,17.0,1.0,19.0
20000278,224.0,55254629.0,15976.0,0.0,1421.0,0.0,0.0,1.0,35.0,176.0,31.0,34.0
20000290,5.0,1688862.0,11262.0,0.0,412.0,0.0,0.0,0.0,6.0,30.0,6.0,68.0
20000297,48.0,147818557.0,40880.0,0.0,1276.0,0.0,0.0,10.0,25.0,138.0,22.0,51.0
20000308,74.0,141176135.0,76301.0,0.0,2010.0,0.0,0.0,6.0,14.0,162.0,20.0,148.0
