actor_account,total_party_time,guild_join_count,average_party_time
0,181435885.0,0.0,4473.38161690377
20000000,47052.0,1.0,2767.764705882353
20000005,8862.0,0.0,1477.0
20000016,69458.0,0.0,3655.684210526316
20000025,37560.0,0.0,4173.333333333333
20000029,58515.0,0.0,3657.1875
20000033,43619.0,0.0,2295.7368421052633
20000041,31662.0,1.0,5277.0
20000051,40934.0,0.0,2558.375
20000054,4294.0,0.0,858.8
20000063,12831.0,1.0,1069.25
20000071,12992.0,0.0,3248.0
20000072,86460.0,0.0,2981.3793103448274
20000085,14878.0,0.0,1653.111111111111
20000087,756.0,0.0,756.0
20000088,11698.0,0.0,1949.6666666666667
20000096,327.0,0.0,327.0
20000107,20575.0,0.0,4115.0
20000111,15892.0,1.0,1589.2
20000112,14177.0,0.0,3544.25
20000117,17138.0,0.0,8569.0
20000124,76945.0,0.0,2849.814814814815
20000127,5030.0,0.0,2515.0
20000130,20577.0,0.0,3429.5
20000131,38246.0,1.0,2731.8571428571427
20000154,18980.0,0.0,6326.666666666667
20000157,499976.0,2.0,11904.190476190477
20000177,796.0,0.0,199.0
20000206,16885.0,0.0,3377.0
20000207,64243.0,0.0,5840.272727272727
20000209,6988.0,0.0,6988.0
20000217,13134.0,0.0,2189.0
20000222,12663.0,0.0,2532.6
20000239,29877.0,0.0,4979.5
20000249,698.0,0.0,698.0
20000257,2049.0,0.0,2049.0
20000270,247.0,0.0,247.0
20000278,34995.0,0.0,4374.375
20000279,84.0,0.0,42.0
20000290,1400.0,0.0,233.33333333333334
20000297,1650.0,0.0,550.0
20000308,46495.0,0.0,4649.5
20000316,72049.0,0.0,3002.0416666666665
20000337,2540.0,0.0,2540.0
20000343,86211.0,0.0,5388.1875
20000361,8287.0,0.0,4143.5
20000367,20109.0,0.0,2010.9
20000387,31232.0,1.0,3470.222222222222
20000393,234.0,0.0,234.0
20000412,1992.0,0.0,1992.0
20000415,18125.0,0.0,3020.8333333333335
20000422,44811.0,0.0,2489.5
20000427,8.0,0.0,8.0
20000435,283.0,0.0,94.33333333333333
20000439,29222.0,0.0,9740.666666666666
20000456,6122.0,1.0,874.5714285714286
20000457,36384.0,0.0,5197.714285714285
20000466,995.0,1.0,995.0
20000470,2159.0,0.0,1079.5
20000482,108659.0,0.0,5718.894736842105
20000491,5533.0,0.0,5533.0
20000512,659.0,1.0,659.0
20000518,13596.0,0.0,1133.0
20000552,65712.0,0.0,3458.5263157894738
20000558,72890.0,0.0,1970.0
20000559,991.0,0.0,330.3333333333333
20000581,8948.0,0.0,1789.6
20000585,21188.0,0.0,7062.666666666667
20000601,46440.0,1.0,3870.0
20000633,146.0,0.0,146.0
20000646,2009.0,0.0,2009.0
20000650,3397.0,0.0,178.78947368421052
20000654,6256.0,0.0,3128.0
20000657,3488.0,2.0,3488.0
20000689,73125.0,0.0,3179.3478260869565
20000690,3147.0,0.0,3147.0
20000692,6377.0,0.0,2125.6666666666665
20000705,20904.0,0.0,2090.4
20000706,31645.0,0.0,5274.166666666667
20000707,59.0,0.0,59.0
20000719,9548.0,1.0,3182.6666666666665
20000731,4295.0,0.0,859.0
20000741,46372.0,1.0,2107.818181818182
20000744,359.0,0.0,359.0
20000751,23.0,0.0,23.0
20000766,4595.0,0.0,2297.5
20000799,8742.0,0.0,2914.0
20000816,6461.0,0.0,2153.6666666666665
20000817,6478.0,0.0,1079.6666666666667
20000827,21928.0,0.0,4385.6
20000833,39934.0,0.0,1535.923076923077
20000837,26822.0,0.0,5364.4
20000841,9948.0,0.0,1658.0
20000843,758.0,0.0,758.0
20000850,17163.0,0.0,2860.5
20000852,1240.0,0.0,1240.0
20000860,39120.0,1.0,2173.3333333333335
20000865,38554.0,0.0,1927.7
20000880,1308.0,0.0,1308.0
20000892,31254.0,0.0,5209.0
20000909,29032.0,0.0,1382.4761904761904
20000922,5057.0,0.0,5057.0
20000934,8541.0,1.0,2135.25
20000946,3432.0,0.0,1716.0
20000949,24100.0,0.0,4016.6666666666665
20000959,35121.0,0.0,1672.4285714285713
20000960,918.0,0.0,459.0
20000968,3266.0,0.0,1633.0
20000971,114901.0,1.0,3706.483870967742
20000974,56308.0,0.0,5630.8
20000983,31673.0,0.0,5278.833333333333
20000988,15334.0,0.0,2190.5714285714284
20000994,5002.0,0.0,1667.3333333333333
20001012,68365.0,1.0,5697.083333333333
20001013,6805.0,0.0,2268.3333333333335
20001025,1225.0,0.0,612.5
20001026,96613.0,0.0,4830.65
20001032,99850.0,0.0,3698.1481481481483
20001035,33956.0,0.0,2263.733333333333
20001050,85933.0,1.0,5054.882352941177
20001066,40176.0,0.0,4464.0
20001111,7913.0,0.0,2637.6666666666665
20001112,39167.0,0.0,6527.833333333333
20001113,10339.0,0.0,646.1875
20001116,64.0,0.0,64.0
20001127,3550.0,0.0,3550.0
20001129,3686.0,0.0,614.3333333333334
20001135,109501.0,0.0,4760.913043478261
20001144,19781.0,0.0,2197.8888888888887
20001175,46064.0,0.0,6580.571428571428
20001194,17625.0,0.0,1602.2727272727273
20001201,56572.0,1.0,2459.6521739130435
20001208,682.0,0.0,682.0
20001229,56.0,0.0,56.0
20001231,1898.0,0.0,1898.0
20001251,60107.0,0.0,3756.6875
20001253,14951.0,0.0,1661.2222222222222
20001256,52104.0,1.0,5210.4
20001264,33203.0,4.0,2554.076923076923
20001272,2949.0,0.0,2949.0
20001276,17061.0,1.0,2437.285714285714
20001292,2314.0,0.0,578.5
20001300,14151.0,0.0,2358.5
20001320,39782.0,0.0,3060.153846153846
20001322,34883.0,2.0,4983.285714285715
20001343,8040.0,0.0,1608.0
20001354,4401.0,0.0,628.7142857142857
20001359,9945.0,0.0,4972.5
20001361,32142.0,1.0,6428.4
20001383,26609.0,0.0,5321.8
20001387,46470.0,0.0,1408.1818181818182
20001390,751.0,0.0,751.0
20001393,26834.0,0.0,2236.1666666666665
20001412,962.0,0.0,481.0
20001444,86788.0,0.0,4821.555555555556
20001458,14045.0,0.0,3511.25
20001461,5355.0,0.0,2677.5
20001472,1296.0,0.0,648.0
20001475,757.0,0.0,757.0
20001477,27698.0,0.0,3462.25
20001480,32160.0,0.0,6432.0
20001496,4782.0,0.0,2391.0
20001508,319.0,0.0,319.0
20001518,3392.0,1.0,3392.0
20001531,18866.0,1.0,898.3809523809524
20001554,43046.0,0.0,2690.375
20001562,32372.0,0.0,2490.153846153846
20001568,167.0,0.0,167.0
20001590,5092.0,0.0,2546.0
20001597,38400.0,0.0,4800.0
20001605,24240.0,0.0,2693.3333333333335
20001607,14080.0,0.0,4693.333333333333
20001623,18614.0,0.0,2068.222222222222
20001628,28126.0,0.0,3515.75
20001636,107.0,0.0,107.0
20001643,14114.0,0.0,2352.3333333333335
20001660,143.0,2.0,143.0
20001677,61897.0,0.0,4761.307692307692
20001680,3002.0,0.0,3002.0
20001684,1772.0,0.0,590.6666666666666
20001688,13107.0,0.0,2184.5
20001713,31871.0,0.0,31871.0
20001752,1451.0,0.0,1451.0
20001760,83717.0,1.0,4650.944444444444
20001765,25940.0,0.0,4323.333333333333
20001780,19132.0,1.0,3188.6666666666665
20001781,29782.0,0.0,2707.4545454545455
20001794,7932.0,0.0,1983.0
20001809,114610.0,0.0,8186.428571428572
20001816,5640.0,0.0,1880.0
20001842,1034.0,0.0,517.0
20001843,35077.0,0.0,1670.3333333333333
20001847,13128.0,0.0,1641.0
20001856,6665.0,0.0,2221.6666666666665
20001871,6102.0,0.0,2034.0
20001884,12481.0,0.0,1783.0
20001888,4783.0,0.0,1195.75
20001890,61.0,0.0,61.0
20001915,36974.0,0.0,12324.666666666666
20001923,24658.0,0.0,8219.333333333334
20001926,16593.0,0.0,2765.5
20001939,65178.0,0.0,3258.9
20001950,13420.0,0.0,1677.5
20001958,11377.0,1.0,11377.0
20001965,12146.0,0.0,6073.0
20001968,5998.0,0.0,749.75
20001972,51580.0,0.0,4689.090909090909
20001974,87542.0,0.0,5836.133333333333
20001978,45946.0,0.0,2187.904761904762
20001992,61083.0,1.0,5553.0
20001996,65232.0,0.0,5436.0
20001998,97464.0,0.0,5414.666666666667
20002012,53536.0,1.0,1446.918918918919
20002035,4628.0,0.0,1542.6666666666667
20002049,50432.0,0.0,3602.285714285714
20002050,13098.0,0.0,2619.6
20002052,31814.0,0.0,2651.1666666666665
20002065,218.0,0.0,218.0
20002073,2596.0,0.0,2596.0
20002092,3595.0,0.0,3595.0
20002103,54262.0,0.0,4932.909090909091
20002104,5888.0,0.0,5888.0
20002122,68356.0,0.0,5258.153846153846
20002132,44977.0,0.0,4497.7
20002139,73841.0,0.0,2953.64
20002149,81718.0,0.0,3552.9565217391305
20002155,22895.0,0.0,2289.5
20002193,103610.0,0.0,4144.4
20002194,25889.0,1.0,5177.8
20002210,24703.0,1.0,4117.166666666667
20002220,1710.0,0.0,1710.0
20002223,41807.0,0.0,3483.9166666666665
20002226,33071.0,0.0,3307.1
20002244,76447.0,0.0,4247.055555555556
20002246,34015.0,0.0,17007.5
20002263,29312.0,0.0,4187.428571428572
20002272,9201.0,1.0,3067.0
20002280,12707.0,0.0,4235.666666666667
20002282,11519.0,0.0,2303.8
20002292,4162.0,0.0,4162.0
20002294,28329.0,1.0,3147.6666666666665
20002297,85522.0,3.0,3563.4166666666665
20002301,10716.0,0.0,5358.0
20002320,15781.0,0.0,2254.4285714285716
20002321,30880.0,0.0,3860.0
20002322,8876.0,0.0,1479.3333333333333
20002330,4587.0,0.0,4587.0
20002336,10029.0,0.0,2507.25
20002338,489.0,0.0,163.0
20002368,8170.0,0.0,4085.0
20002383,13907.0,0.0,1264.2727272727273
20002386,940.0,0.0,470.0
20002394,8554.0,0.0,4277.0
20002409,10546.0,0.0,2109.2
20002414,5004.0,0.0,2502.0
20002428,76038.0,1.0,2376.1875
20002440,19039.0,0.0,3807.8
20002441,3868.0,1.0,1289.3333333333333
20002454,8565.0,0.0,4282.5
20002464,75157.0,0.0,4175.388888888889
20002480,4.0,1.0,4.0
20002496,30253.0,0.0,1890.8125
20002503,60833.0,0.0,4345.214285714285
20002511,29958.0,0.0,1762.235294117647
20002513,4490.0,0.0,2245.0
20002517,75567.0,0.0,4198.166666666667
20002531,29158.0,0.0,3644.75
20002532,10641.0,0.0,3547.0
20002541,6435.0,0.0,3217.5
20002542,25230.0,0.0,1940.7692307692307
20002560,62936.0,0.0,5721.454545454545
20002566,65368.0,1.0,2614.72
20002570,126156.0,0.0,6307.8
20002573,7754.0,0.0,3877.0
20002586,24227.0,0.0,4845.4
20002588,6329.0,0.0,1054.8333333333333
20002591,44407.0,0.0,1930.7391304347825
20002592,19916.0,0.0,1659.6666666666667
20002604,1058.0,0.0,352.6666666666667
20002605,17162.0,0.0,5720.666666666667
20002607,956.0,0.0,956.0
20002640,121480.0,0.0,501.9834710743802
20002648,22304.0,0.0,5576.0
20002651,107797.0,0.0,4146.038461538462
20002660,3537.0,0.0,1768.5
20002669,37968.0,0.0,6328.0
20002673,8481.0,2.0,1211.5714285714287
20002686,1853.0,0.0,1853.0
20002698,4274.0,0.0,1068.5
20002706,3333.0,0.0,1111.0
20002708,4271.0,0.0,2135.5
20002715,1637.0,0.0,545.6666666666666
20002723,12541.0,0.0,2508.2
20002724,23830.0,2.0,3404.285714285714
20002727,37097.0,0.0,3372.4545454545455
20002730,10644.0,0.0,2661.0
20002738,77199.0,0.0,3509.0454545454545
20002748,43181.0,0.0,5397.625
