log_date,big_log_id,log_id,actor,actor_account,target,target_account,worldnum,etc_str1,etc_str2,etc_str3,etc_num1,etc_num2,etc_num3,etc_num4,etc_num5,etc_num6,etc_num7,etc_num8,etc_num9,etc_num10,etc_num11,etc_num12,etc_num13,etc_num14,etc_num15,item_uid
2010-04-24 00:00:02.403,200,259,405108661,0,870081,20058849,220040000,,1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,405108661
2010-04-24 00:00:02.403,500,503,870081,20058849,0,0,220040000,,,,1,44,0,1,2058,40,4,0,0,1100807,,,,,,0
2010-04-24 00:00:02.403,300,301,210728,1095043331,0,0,220010000,,,,8,2,0,12,0,0,0,0,0,,,,,,,0
2010-04-24 00:00:02.403,300,301,215141,1095043332,0,0,2147501462,,,,5384,45,0,12,0,0,0,0,0,,,,,,,0
2010-04-24 00:00:02.403,300,301,215153,1095043333,0,0,2147501462,,,,1032,45,0,12,0,0,0,0,0,,,,,,,0
2010-04-24 00:00:02.403,300,301,213438,1095043334,0,0,2147501461,,,,1032,47,0,12,0,0,0,0,0,,,,,,,0
2010-04-24 00:00:02.403,300,301,213413,1095043335,0,0,2147501461,,,,1032,46,0,12,0,0,0,0,0,,,,,,,0
2010-04-24 00:00:02.403,100,145,857269,20015924,0,0,2147501262,,,,1,31,1,5,3,136164,,,,,,,,,,0
2010-04-24 00:00:02.403,200,202,806523,20054883,0,0,220050000,,1,,1,1,152011027,1,47,1,4,54,0,,,,,,,399128960
2010-04-24 00:00:02.403,200,243,806523,20054883,0,0,220050000,,,,1,47,1,4,399128960,152011027,1,6772235,,,,,,,,0
2010-04-24 00:00:02.403,100,155,894171,20049466,0,0,400010000,,,,1,50,1,11,53,212,,,,,,,,,,0
2010-04-24 00:00:02.403,100,145,894171,20049466,0,0,400010000,,,,1,50,1,11,0,38676836,,,,,,,,,,0
2010-04-24 00:00:02.403,100,142,894171,20049466,0,0,400010000,,,,1,50,1,11,400010000,929,3004,1655,4,400894,,,,,,0
2010-04-24 00:00:02.403,300,308,214854,1094752564,817685,20077303,2147501085,,,,5384,50,0,12,0,50,0,1,280,4,18926,1072187,0,,,0
2010-04-24 00:00:02.403,300,301,213400,1095043336,0,0,2147501461,,,,5384,45,0,12,0,0,0,0,0,,,,,,,0
2010-04-24 00:00:02.403,300,301,211666,1095043337,0,0,210020000,,,,8,38,0,12,0,0,0,0,0,,,,,,,0
2010-04-24 00:00:02.403,200,260,859776,20032588,0,0,110010000,,1,,685,1,169400061,0,50,1,4,0,,,,,,,,405050346
2010-04-24 00:00:02.403,200,260,859776,20032588,0,0,110010000,,1,,685,1,152020093,0,50,1,4,0,,,,,,,,404914421
2010-04-24 00:00:02.403,200,260,828984,20096218,0,0,220050001,,1,,9333,3,169300010,1,50,1,4,22,,,,,,,,314658021
2010-04-24 00:00:02.403,100,160,833467,20039861,0,0,220010001,,,,1,9,0,3,921,727,0,73125,0,9813,400268,,0,,,0
2010-04-24 00:00:02.403,200,260,859157,20089195,0,0,210040000,,1,,3255,1,169300005,0,43,1,4,22,,,,,,,,403511175
2010-04-24 00:00:02.403,300,308,210731,1095041788,845366,20046215,220010001,,,,8,3,0,12,1,9,1,3,564,4,1262,0,0,,,0
2010-04-24 00:00:02.403,100,143,845366,20046215,210731,1095041788,220010001,,,,1,9,1,3,73125,73125,86,0,0,0,0,,,,,0
2010-04-24 00:00:02.403,300,307,210731,1095041788,0,0,220010001,,,,8,3,0,12,3,0,182400001,0,,,,,,,,0
2010-04-24 00:00:02.403,300,307,210731,1095041788,0,0,220010001,,,,8,3,0,12,1,0,182004813,0,,,,,,,,0
2010-04-24 00:00:02.403,300,301,213410,1095043338,0,0,2147501461,,,,5384,46,0,12,0,0,0,0,0,,,,,,,0
2010-04-24 00:00:02.403,300,301,214467,1095043339,0,0,220050001,,,,4616,48,0,12,0,0,0,0,0,,,,,,,0
